Nombre,Posicion,Numero,Equipo,Prediccion,Color,Probabilidad,Alinear,Rojo,Naranja,Verde,Azul
Orri Steinn Óskarsson,FW,9,Real Sociedad,-2.0,Naranja,74.13,No,18.53,74.13,4.12,3.22
Sergio Gómez,LM,17,Real Sociedad,16.5,Verde,60.0,Sí,2.67,24.0,60.0,13.33
Takefusa Kubo,RM,14,Real Sociedad,-5.5,Rojo,57.11,No,57.11,38.08,2.66,2.16
Olasagasti,CM,16,Real Sociedad,-1.0,Naranja,76.67,No,15.33,76.67,4.51,3.49
Mikel Oyarzabal,CM,10,Real Sociedad,-4.0,Naranja,62.89,No,31.45,62.89,3.14,2.52
Pablo Marín,CM,28,Real Sociedad,1.375,Naranja,79.69,Sí,10.8,79.69,5.45,4.06
Sheraldo Becker,RM,11,Real Sociedad,-0.75,Naranja,77.15,No,14.7,77.15,4.61,3.55
Ander Barrenetxea,LM,7,Real Sociedad,-3.0,Naranja,70.05,No,23.35,70.05,3.69,2.92
Beñat Turrientes,DM,22,Real Sociedad,0.125,Naranja,78.48,Sí,12.81,78.48,4.94,3.76
Martín Zubimendi,DM,4,Real Sociedad,-1.0,Naranja,76.67,No,15.33,76.67,4.51,3.49
Javi López,LB,12,Real Sociedad,16.34375,Verde,59.31,Sí,2.65,25.3,59.31,12.74
Nayef Aguerd,CB,21,Real Sociedad,-0.875,Naranja,76.92,No,15.01,76.92,4.56,3.52
Igor Zubeldia,CB,5,Real Sociedad,17.375,Verde,61.92,Sí,2.65,18.35,61.92,17.08
Jon Aramburu,RB,19,Real Sociedad,4.625,Naranja,80.44,Sí,7.57,80.44,7.07,4.91
Hamari Traoré,RB,18,Real Sociedad,-4.5,Naranja,56.99,No,37.99,56.99,2.78,2.23
Isaac Romero,FW,7,Sevilla,-0.25,Naranja,77.97,No,13.56,77.97,4.8,3.67
Albert Sambi Lokonga,AM,12,Sevilla,-5.125,Rojo,50.65,No,50.65,45.02,2.4,1.94
Chidera Ejuke,LW,21,Sevilla,16.75,Verde,60.87,Sí,2.68,22.13,60.87,14.32
Juanlu Sánchez,RW,26,Sevilla,-4.25,Naranja,60.23,No,34.41,60.23,2.97,2.39
Dodi Lukebakio,RW,11,Sevilla,16.25,Verde,58.83,Sí,2.64,26.15,58.83,12.38
Stanis Idumbo,FW,27,Sevilla,-5.375,Rojo,55.19,No,55.19,40.14,2.58,2.09
Saúl Ñíguez,AM,17,Sevilla,6.0,Naranja,80.0,Sí,6.67,80.0,8.0,5.33
Peque,LW,14,Sevilla,-6.875,Rojo,70.06,No,70.06,24.37,3.06,2.51
Djibril Sow,DM,20,Sevilla,16.09375,Verde,57.91,Sí,2.62,27.66,57.91,11.8
Lucien Agoume,DM,18,Sevilla,16.15625,Verde,58.3,Sí,2.63,27.04,58.3,12.04
Adrià Pedrosa,LB,3,Sevilla,16.125,Verde,58.11,Sí,2.63,27.35,58.11,11.92
Kike Salas,CB,4,Sevilla,16.125,Verde,58.11,Sí,2.63,27.35,58.11,11.92
Loïc Bade,CB,22,Sevilla,16.125,Verde,58.11,Sí,2.63,27.35,58.11,11.92
Carmona,RB,2,Sevilla,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Ørjan Nyland,GK,13,Sevilla,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Roberto Férnandez,FW,2,Espanyol,-2.125,Naranja,73.72,No,19.02,73.72,4.07,3.19
Alejo Véliz,FW,9,Espanyol,-5.875,Rojo,61.87,No,61.87,33.0,2.83,2.3
Javi Puado,AM,7,Espanyol,16.375,Verde,59.45,Sí,2.66,25.03,59.45,12.86
Antoniu,LM,31,Espanyol,-7.5,Rojo,73.35,No,73.35,20.96,3.12,2.57
Alex Král,AM,20,Espanyol,-0.5,Naranja,77.58,No,14.11,77.58,4.7,3.61
Urko González,LM,19,Espanyol,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Edu Expósito,CM,8,Espanyol,-6.375,Rojo,66.57,No,66.57,28.03,2.98,2.43
Pol Lozano,CM,10,Espanyol,-1.625,Naranja,75.22,No,17.19,75.22,4.27,3.32
Fernando Calero,CB,5,Espanyol,-5.25,Rojo,53.05,No,53.05,42.44,2.5,2.02
Jofre,RM,17,Espanyol,16.46875,Verde,59.87,Sí,2.66,24.25,59.87,13.21
Álvaro Tejero,RM,12,Espanyol,-3.75,Naranja,65.13,No,28.94,65.13,3.3,2.63
Carlos Romero,LB,22,Espanyol,1.625,Naranja,79.85,Sí,10.47,79.85,5.55,4.12
Leandro Cabrera,CB,6,Espanyol,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Marash Kumbulla,CB,4,Espanyol,16.125,Verde,58.11,Sí,2.63,27.35,58.11,11.92
Omar El Hilali,RB,23,Espanyol,16.25,Verde,58.83,Sí,2.64,26.15,58.83,12.38
Joan García,GK,1,Espanyol,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Bojan Miovski,FW,19,Girona,-4.0,Naranja,62.89,No,31.45,62.89,3.14,2.52
Cristhian Stuani,FW,7,Girona,-3.375,Naranja,67.86,No,25.85,67.86,3.5,2.78
Bryan Gil,LW,20,Girona,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Arnaut Danjuma,WB,11,Girona,-4.0,Naranja,62.89,No,31.45,62.89,3.14,2.52
Viktor Tsyhankov,RW,8,Girona,16.78125,Verde,60.96,Sí,2.68,21.92,60.96,14.45
Yangel Herrera,LM,21,Girona,16.375,Verde,59.45,Sí,2.66,25.03,59.45,12.86
Arthur Melo,CM,12,Girona,16.625,Verde,60.47,Sí,2.67,23.04,60.47,13.82
Portu,CM,24,Girona,-4.25,Naranja,60.23,No,34.41,60.23,2.97,2.39
Iván Martín,RM,23,Girona,18.25,Verde,60.97,Sí,2.51,14.35,60.97,22.17
Miguel Gutiérrez,LB,3,Girona,16.28125,Verde,58.99,Sí,2.65,25.86,58.99,12.5
Juanpe,CB,15,Girona,16.375,Verde,59.45,Sí,2.66,25.03,59.45,12.86
Ladislav Krejčí,CB,18,Girona,16.875,Verde,61.2,Sí,2.68,21.29,61.2,14.84
Daley Blind,CB,17,Girona,17.09375,Verde,61.63,Sí,2.67,19.92,61.63,15.78
Arnau Martinez,RB,4,Girona,16.28125,Verde,58.99,Sí,2.65,25.86,58.99,12.5
Donny van de Beek,AM,6,Girona,-7.75,Rojo,74.43,No,74.43,19.85,3.13,2.59
Paulo Gazzaniga,GK,13,Girona,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Marcos André,FW,9,Valladolid,-2.75,Naranja,71.27,No,21.93,71.27,3.8,3.0
Mamadou Sylla,AM,7,Valladolid,-6.5,Rojo,67.53,No,67.53,27.01,3.0,2.46
Raúl Moro,LW,11,Valladolid,4.75,Naranja,80.42,Sí,7.48,80.42,7.15,4.95
Anuar,RW,23,Valladolid,-5.375,Rojo,55.19,No,55.19,40.14,2.58,2.09
Iván Sánchez,RW,10,Valladolid,-0.625,Naranja,77.37,No,14.39,77.37,4.65,3.58
Selim Amallah,AM,21,Valladolid,-2.5,Naranja,72.34,No,20.67,72.34,3.91,3.08
Juanmi Latasa,FW,14,Valladolid,-2.125,Naranja,73.72,No,19.02,73.72,4.07,3.19
Tamás Nikitscher,DM,4,Valladolid,0.375,Naranja,78.78,Sí,12.36,78.78,5.04,3.82
